shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
7-1-165,-119.480795,49.834983,10051
7-1-165,-119.480831,49.834731,10052
7-1-165,-119.480889,49.834737,10053
7-1-165,-119.481180,49.834828,10054
7-1-165,-119.481415,49.834969,10055
7-1-165,-119.481706,49.835300,10056
7-1-165,-119.481903,49.835431,10057
7-1-165,-119.482138,49.835520,10058
7-1-165,-119.482788,49.835636,10059
7-1-165,-119.483879,49.835716,10060
7-1-165,-119.484781,49.835495,10061
7-1-165,-119.484816,49.835493,10062
7-1-165,-119.484816,49.835493,20001
7-1-165,-119.484980,49.835484,20002
7-1-165,-119.485107,49.835479,20003
7-1-165,-119.486791,49.835411,20004
7-1-165,-119.486824,49.835484,20005
7-1-165,-119.487202,49.836324,20006
7-1-165,-119.487280,49.836501,20007
7-1-165,-119.487280,49.836501,30001
7-1-165,-119.487346,49.836647,30002
7-1-165,-119.487650,49.837322,30003
7-1-165,-119.488688,49.839628,30004
7-1-165,-119.488691,49.839882,30005
7-1-165,-119.488657,49.840160,30006
7-1-165,-119.488561,49.840480,30007
7-1-165,-119.488561,49.840480,40001
7-1-165,-119.488310,49.841318,40002
7-1-165,-119.487986,49.842448,40003
7-1-165,-119.487960,49.842669,40004
7-1-165,-119.487920,49.843009,40005
7-1-165,-119.487851,49.843592,40006
7-1-165,-119.487829,49.843901,40007
7-1-165,-119.487829,49.843901,50001
7-1-165,-119.487730,49.845352,50002
7-1-165,-119.487647,49.845729,50003
7-1-165,-119.487419,49.846247,50004
7-1-165,-119.487419,49.846247,60001
7-1-165,-119.487398,49.846296,60002
7-1-165,-119.486761,49.847208,60003
7-1-165,-119.486646,49.847373,60004
7-1-165,-119.486574,49.847476,60005
7-1-165,-119.486352,49.848004,60006
7-1-165,-119.486212,49.848720,60007
7-1-165,-119.486246,49.848933,60008
7-1-165,-119.486246,49.848933,70001
7-1-165,-119.486316,49.849390,70002
7-1-165,-119.486611,49.850252,70003
7-1-165,-119.486851,49.851340,70004
7-1-165,-119.486910,49.851500,70005
7-1-165,-119.486910,49.851500,80001
7-1-165,-119.486951,49.851613,80002
7-1-165,-119.487076,49.851833,80003
7-1-165,-119.487252,49.852046,80004
7-1-165,-119.489597,49.854401,80005
7-1-165,-119.489997,49.854829,80006
7-1-165,-119.490329,49.855191,80007
7-1-165,-119.490576,49.855468,80008
7-1-165,-119.490763,49.855664,80009
7-1-165,-119.490763,49.855664,90001
7-1-165,-119.491017,49.855928,90002
7-1-165,-119.491164,49.856140,90003
7-1-165,-119.491225,49.856333,90004
7-1-165,-119.491223,49.856495,90005
7-1-165,-119.491215,49.857144,90006
7-1-165,-119.491215,49.857144,100001
7-1-165,-119.491215,49.857277,100002
7-1-165,-119.491206,49.858147,100003
7-1-165,-119.491214,49.858958,100004
7-1-165,-119.491229,49.860392,100005
7-1-165,-119.491229,49.860392,110001
7-1-165,-119.491244,49.861996,110002
7-1-165,-119.490851,49.862001,110003
7-1-165,-119.490851,49.862001,120001
7-1-165,-119.489722,49.862018,120002
7-1-165,-119.488785,49.862035,120003
7-1-165,-119.488658,49.861969,120004
7-1-165,-119.488262,49.861876,120005
7-1-165,-119.486723,49.861382,120006
7-1-165,-119.486037,49.861142,120007
7-1-165,-119.485404,49.860921,120008
7-1-165,-119.484907,49.860918,120009
7-1-165,-119.484907,49.860918,130001
7-1-165,-119.484228,49.860913,130002
7-1-165,-119.483586,49.860908,130003
7-1-165,-119.480848,49.860889,130004
7-1-165,-119.479460,49.860887,130005
7-1-165,-119.479025,49.860888,130006
7-1-165,-119.479030,49.860983,130007
7-1-165,-119.479045,49.861241,130008
7-1-165,-119.479331,49.861240,130009
7-1-165,-119.479331,49.861240,140001
7-1-165,-119.479457,49.861239,140002
7-1-165,-119.479458,49.860986,140003
7-1-165,-119.480844,49.860990,140004
7-1-165,-119.483587,49.860998,140005
7-1-165,-119.484226,49.861003,140006
7-1-165,-119.485404,49.861007,140007
7-1-165,-119.486027,49.861220,140008
7-1-165,-119.486726,49.861460,140009
7-1-165,-119.488259,49.861995,140010
7-1-165,-119.488599,49.862056,140011
7-1-165,-119.488785,49.862035,140012
7-1-165,-119.489722,49.862018,140013
7-1-165,-119.491244,49.861996,140014
7-1-165,-119.491244,49.862171,140015
7-1-165,-119.491244,49.862171,150001
7-1-165,-119.491243,49.863324,150002
7-1-165,-119.491243,49.863689,150003
7-1-165,-119.491243,49.863954,150004
7-1-165,-119.491243,49.863954,160001
7-1-165,-119.491243,49.864818,160002
7-1-165,-119.491242,49.865419,160003
7-1-165,-119.491253,49.865793,160004
7-1-165,-119.491253,49.865793,170001
7-1-165,-119.491260,49.866021,170002
7-1-165,-119.491244,49.866659,170003
7-1-165,-119.491257,49.867325,170004
7-1-165,-119.491244,49.867550,170005
7-1-165,-119.491244,49.867737,170006
7-1-165,-119.491242,49.868277,170007
7-1-165,-119.491243,49.868596,170008
7-1-165,-119.491243,49.868596,180001
7-1-165,-119.491242,49.868619,180002
7-1-165,-119.491242,49.869040,180003
7-1-165,-119.491253,49.869527,180004
7-1-165,-119.491262,49.869998,180005
7-1-165,-119.491258,49.870391,180006
7-1-165,-119.491253,49.870923,180007
7-1-165,-119.491265,49.871760,180008
7-1-165,-119.491251,49.872263,180009
7-1-165,-119.491236,49.872810,180010
7-1-165,-119.491241,49.873415,180011
7-1-165,-119.491241,49.873415,190001
7-1-165,-119.491243,49.873609,190002
7-1-165,-119.491246,49.874517,190003
7-1-165,-119.491256,49.875428,190004
7-1-165,-119.491257,49.876324,190005
7-1-165,-119.491322,49.876720,190006
7-1-165,-119.491322,49.876720,200001
7-1-165,-119.491409,49.877248,200002
7-1-165,-119.491549,49.877930,200003
7-1-165,-119.491686,49.878173,200004
7-1-165,-119.491879,49.878325,200005
7-1-165,-119.493318,49.879404,200006
7-1-165,-119.493651,49.879654,200007
7-1-165,-119.493651,49.879654,210001
7-1-165,-119.494735,49.880468,210002
7-1-165,-119.494890,49.880626,210003
7-1-165,-119.494955,49.880693,210004
7-1-165,-119.495057,49.880987,210005
7-1-165,-119.495058,49.881350,210006
7-1-165,-119.495058,49.881350,220001
7-1-165,-119.495060,49.881914,220002
7-1-165,-119.495058,49.882026,220003
7-1-165,-119.495019,49.882136,220004
7-1-165,-119.495114,49.882317,220005
7-1-165,-119.495534,49.882800,220006
7-1-165,-119.495822,49.883132,220007
7-1-165,-119.496161,49.883519,220008
7-1-165,-119.496225,49.883609,220009
7-1-165,-119.496460,49.884179,220010
7-1-165,-119.496460,49.884179,230001
7-1-165,-119.496490,49.884251,230002
7-1-165,-119.496578,49.884348,230003
7-1-165,-119.496616,49.884503,230004
7-1-165,-119.495054,49.884501,230005
7-1-165,-119.495050,49.885368,230006
7-1-165,-119.495063,49.886326,230007
7-1-165,-119.495074,49.887252,230008
7-1-165,-119.495073,49.887381,230009
7-1-165,-119.494687,49.887444,230010
7-1-165,-119.493749,49.887435,230011
7-1-165,-119.493756,49.887284,230012
7-1-165,-119.493909,49.887196,230013
7-1-165,-119.494729,49.887194,230014
7-1-165,-119.494845,49.887214,230015
7-1-166,-119.479331,49.861240,10001
7-1-166,-119.479457,49.861239,10002
7-1-166,-119.479458,49.860986,10003
7-1-166,-119.480844,49.860990,10004
7-1-166,-119.483587,49.860998,10005
7-1-166,-119.484226,49.861003,10006
7-1-166,-119.485404,49.861007,10007
7-1-166,-119.486027,49.861220,10008
7-1-166,-119.486726,49.861460,10009
7-1-166,-119.488259,49.861995,10010
7-1-166,-119.488599,49.862056,10011
