stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
35,103025,Lakeshore at Pandosy Exchange,,49.860257,-119.491351,,,0,,2
36,103062,Lakeshore at Swordy,,49.854748,-119.490134,,,0,,2
37,103093,Lakeshore at Bechard,,49.851509,-119.487041,,,0,,2
38,103119,Lakeshore at Barrera,,49.848548,-119.486383,,,0,,2
39,103139,Lakeshore at Cook,,49.845203,-119.487974,,,0,,2
40,103152,Lakeshore at Truswell,,49.843814,-119.488023,,,0,,2
41,103185,Lakeshore at Bluebird,,49.840342,-119.488773,,,0,,2
42,103342,Lakeshore 4069 Block,,49.837845,-119.48803,,,0,,2
43,103801,Lequime Road,,49.835561,-119.484333,,,0,,2
44,102928,Kelowna General Hospital,,49.873981,-119.491386,,,0,,2
45,102859,Queensway Exchange,,49.887257,-119.494323,,,0,,2
46,102865,Water at Doyle,,49.889233,-119.496511,,,0,,2
47,102870,Water at Cawston,,49.892092,-119.496518,,,0,,2
48,102878,Clement at Sunset,,49.893504,-119.494902,,,0,,2
49,102888,Ellis at Industrial,,49.895813,-119.493415,,,0,,2
50,102901,Ellis at Recreation,,49.897991,-119.493397,,,0,,2
51,102911,Ellis at Roanoke,,49.899573,-119.493427,,,0,,2
52,102919,Ellis at Okanagan,,49.901052,-119.493401,,,0,,2
53,102924,Ellis at Oxford,,49.901867,-119.493183,,,0,,2
54,102932,Cambridge at Ellis,,49.903459,-119.492403,,,0,,2
55,102934,Cambridge at Kingsway,,49.903459,-119.490635,,,0,,2
56,102935,Richter at Cambridge,,49.903032,-119.488607,,,0,,2
57,102922,Richter at Okanagan,,49.901191,-119.488584,,,0,,2
58,102913,Richter at Bay,,49.899274,-119.488595,,,0,,2
59,102895,Richter at Gaston,,49.895678,-119.4886,,,0,,2
60,102885,Richter at Clement,,49.893209,-119.488618,,,0,,2
61,102879,Richter at Wilson,,49.891021,-119.488622,,,0,,2
62,102875,Richter at Lawrence,,49.885636,-119.48866,,,0,,2
63,103079,Orchard Park Exchange,,49.880037,-119.442282,,,0,,2
64,103076,Enterprise at Cooper,,49.883161,-119.441661,,,0,,2
65,103102,Dilworth at Enterprise,,49.884511,-119.437642,,,0,,2
66,103099,Dilworth at Leckie,,49.887,-119.437646,,,0,,2
67,103123,Dilworth at Omineca,,49.891488,-119.432566,,,0,,2
68,103147,Dilworth at Cascade,,49.892758,-119.428106,,,0,,2
69,103172,Dilworth 970 Block,,49.896538,-119.425913,,,0,,2
70,103170,Summit at Dilworth,,49.898813,-119.426785,,,0,,2
71,103143,Summit at Purcell,,49.899639,-119.430672,,,0,,2
72,103129,Summit at Lillooet,,49.899363,-119.43308,,,0,,2
73,103111,Summit at Skeena,,49.898599,-119.436441,,,0,,2
74,103089,Summit at Lillooet,,49.895688,-119.439966,,,0,,2
75,103083,Summit at Denali,,49.898413,-119.442305,,,0,,2
76,103052,Summit at Valley,,49.901196,-119.450258,,,0,,2
77,103041,Glenmore at Summit,,49.901873,-119.453518,,,0,,2
78,103051,Glenmore at Glenmeadows,,49.903999,-119.452931,,,0,,2
79,103090,Yates at Glenmore,,49.908867,-119.448961,,,0,,2
80,103098,Yates at Valley,,49.908634,-119.447272,,,0,,2
81,103053,Summit at Valley,,49.901043,-119.450217,,,0,,2
82,103082,Summit at Denali,,49.898838,-119.442599,,,0,,2
83,103095,Summit at Chilcotin,,49.895922,-119.439118,,,0,,2
84,103117,Summit at Skeena,,49.898808,-119.435562,,,0,,2
85,103128,Summit at Lillooet,,49.899275,-119.433616,,,0,,2
86,103148,Summit at Nahanni,,49.899911,-119.430096,,,0,,2
87,103168,Summit at Dilworth,,49.898639,-119.426847,,,0,,2
88,103166,Dilworth 960 Block,,49.896903,-119.426346,,,0,,2
89,103145,Dilworth at Cascade,,49.892928,-119.428223,,,0,,2
90,103118,Dilworth at Omineca,,49.891224,-119.433266,,,0,,2
91,103096,Dilworth at Leckie,,49.886988,-119.437851,,,0,,2
